,0
Lionel Andrés Messi Cuccittini,23.81225338000007
Ousmane Dembélé,6.402278439999996
Sergio Busquets i Burgos,5.422392220000017
Sergino Dest,2.679686669999989
Óscar Mingueza García,2.4430450400000048
Frenkie de Jong,4.581067459999993
Clément Lenglet,5.267802529999989
Marc-André ter Stegen,0.7737900899999975
Jordi Alba Ramos,10.97988079000002
Pedro González López,2.0218321699999975
Antoine Griezmann,2.777358930000002
Ronald Federico Araújo da Silva,0.7456351199999998
Moriba Kourouma Kourouma,0.5523298499999996
Francisco António Machado Mota de Castro Trincão,0.15380217999999996
Ricard Puig Martí,0.61336465
Martin Braithwaite Christensen,-0.20231261999999975
Gerard Piqué Bernabéu,1.8737744199999977
Sergi Roberto Carnicer,2.026318290000003
Samuel Yves Umtiti,0.6661864700000002
Miralem Pjanić,1.632630570000001
Philippe Coutinho Correia,1.7922680100000024
Héctor Junior Firpo Adames,0.2761439599999998
Anssumane Fati,1.7687659500000008
Norberto Murara Neto,0.09667133999999998
Carles Aleña Castillo,0.018155429999999993
